profile;montage;sides;apv;profile_category;Antal m� fireboard pr. m profil;Antal bj�lkeprofiler/PDP pr. m profil;Antal vinkelprofil pr. m profil;Antal skruer pr. m profil;Antal klammer pr. m profil
HEA160;Bjælkeprofil eller PDP profil;4;192;H-profiler;0,9140;4;0;64;
HEA180;Klammeløsning;1;117;H-profiler;0,3090;;2;16;16
HEA180;Klammeløsning;2;78;H-profiler;0,3960;;2;16;8
HEA180;Klammeløsning;3;116;H-profiler;0,5670;;2;16;16
HEA180;Klammeløsning;4;155;H-profiler;0,7920;;0;0;32
HEA180;Bjælkeprofil eller PDP profil;1;146;H-profiler;0,4090;2;2;48;
HEA180;Bjælkeprofil eller PDP profil;2;85;H-profiler;0,4460;1;2;32;
HEA180;Bjælkeprofil eller PDP profil;3;129;H-profiler;0,6670;2;2;48;
HEA180;Bjælkeprofil eller PDP profil;4;182;H-profiler;0,9920;4;0;64;
HEA200;Klammeløsning;1;110;H-profiler;0,3300;;2;16;16
HEA200;Klammeløsning;2;73;H-profiler;0,4350;;2;16;8
HEA200;Klammeløsning;3;108;H-profiler;0,6250;;2;16;16
HEA200;Klammeløsning;4;145;H-profiler;0,8700;;0;0;32
HEA200;Bjælkeprofil eller PDP profil;1;135;H-profiler;0,4300;2;2;48;
HEA200;Bjælkeprofil eller PDP profil;2;79;H-profiler;0,4850;1;2;32;
HEA200;Bjælkeprofil eller PDP profil;3;119;H-profiler;0,7250;2;2;48;
HEA200;Bjælkeprofil eller PDP profil;4;168;H-profiler;1,0700;4;0;64;
HEA220;Klammeløsning;1;100;H-profiler;0,3520;;2;16;16
HEA220;Klammeløsning;2;67;H-profiler;0,4750;;2;16;8
HEA220;Klammeløsning;3;100;H-profiler;0,6850;;2;16;16
HEA220;Klammeløsning;4;134;H-profiler;0,9500;;0;0;32
HEA220;Bjælkeprofil eller PDP profil;1;121;H-profiler;0,4520;2;2;48;
HEA220;Bjælkeprofil eller PDP profil;2;72;H-profiler;0,5250;1;2;32;
HEA220;Bjælkeprofil eller PDP profil;3;109;H-profiler;0,7850;2;2;48;
HEA220;Bjælkeprofil eller PDP profil;4;153;H-profiler;1,1500;4;0;64;
HEA240;Klammeløsning;1;92;H-profiler;0,3740;;2;16;16
HEA240;Klammeløsning;2;62;H-profiler;0,5150;;2;16;8
HEA240;Klammeløsning;3;92;H-profiler;0,7450;;2;16;16
HEA240;Klammeløsning;4;123;H-profiler;1,0300;;0;0;32
HEA240;Bjælkeprofil eller PDP profil;1;110;H-profiler;0,4740;2;2;48;
HEA240;Bjælkeprofil eller PDP profil;2;66;H-profiler;0,5650;1;2;32;
HEA240;Bjælkeprofil eller PDP profil;3;99;H-profiler;0,8450;2;2;48;
HEA240;Bjælkeprofil eller PDP profil;4;139;H-profiler;1,2300;4;0;64;
HEA260;Klammeløsning;1;88;H-profiler;0,3950;;2;16;16
HEA260;Klammeløsning;2;59;H-profiler;0,5550;;2;16;8
HEA260;Klammeløsning;3;88;H-profiler;0,8050;;2;16;16
HEA260;Klammeløsning;4;118;H-profiler;1,1100;;0;0;32
HEA260;Bjælkeprofil eller PDP profil;1;104;H-profiler;0,4950;2;2;48;
HEA260;Bjælkeprofil eller PDP profil;2;63;H-profiler;0,6050;1;2;32;
HEA260;Bjælkeprofil eller PDP profil;3;95;H-profiler;0,9050;2;2;48;
HEA260;Bjælkeprofil eller PDP profil;4;132;H-profiler;1,3100;4;0;64;
HEA280;Klammeløsning;1;85;H-profiler;0,4160;;2;16;16
HEA280;Klammeløsning;2;57;H-profiler;0,5950;;2;16;8
HEA280;Klammeløsning;3;85;H-profiler;0,8650;;2;16;16
HEA280;Klammeløsning;4;114;H-profiler;1,1900;;0;0;32
HEA280;Bjælkeprofil eller PDP profil;1;98;H-profiler;0,5160;2;2;48;
HEA280;Bjælkeprofil eller PDP profil;2;60;H-profiler;0,6450;1;2;32;
HEA280;Bjælkeprofil eller PDP profil;3;91;H-profiler;0,9650;2;2;48;
HEA280;Bjælkeprofil eller PDP profil;4;126;H-profiler;1,3900;4;0;64;
HEA300;Klammeløsning;1;79;H-profiler;0,4380;;2;16;16
HEA300;Klammeløsning;2;53;H-profiler;0,6350;;2;16;8
HEA300;Klammeløsning;3;79;H-profiler;0,9250;;2;16;16
HEA300;Klammeløsning;4;106;H-profiler;1,2700;;0;0;32
HEA300;Bjælkeprofil eller PDP profil;1;90;H-profiler;0,5380;2;2;48;
HEA300;Bjælkeprofil eller PDP profil;2;56;H-profiler;0,6850;1;2;32;
HEA300;Bjælkeprofil eller PDP profil;3;84;H-profiler;1,0250;2;2;48;
HEA300;Bjælkeprofil eller PDP profil;4;117;H-profiler;1,4700;4;0;64;
HEA320;Klammeløsning;1;72;H-profiler;0,4410;;2;16;16
HEA320;Klammeløsning;2;50;H-profiler;0,6550;;2;16;8
HEA320;Klammeløsning;3;75;H-profiler;0,9650;;2;16;16
HEA320;Klammeløsning;4;99;H-profiler;1,3100;;0;0;32
HEA320;Bjælkeprofil eller PDP profil;1;82;H-profiler;0,5410;2;2;48;
HEA320;Bjælkeprofil eller PDP profil;2;52;H-profiler;0,7050;1;2;32;
HEA320;Bjælkeprofil eller PDP profil;3;80;H-profiler;1,0650;2;2;48;
HEA320;Bjælkeprofil eller PDP profil;4;109;H-profiler;1,5100;4;0;64;
HEA340;Klammeløsning;1;68;H-profiler;0,4430;;2;16;16
HEA340;Klammeløsning;2;48;H-profiler;0,6750;;2;16;8
HEA340;Klammeløsning;3;73;H-profiler;1,0050;;2;16;16
HEA340;Klammeløsning;4;95;H-profiler;1,3500;;0;0;32
HEA340;Bjælkeprofil eller PDP profil;1;78;H-profiler;0,5430;2;2;48;
HEA340;Bjælkeprofil eller PDP profil;2;50;H-profiler;0,7250;1;2;32;
HEA340;Bjælkeprofil eller PDP profil;3;77;H-profiler;1,1050;2;2;48;
HEA340;Bjælkeprofil eller PDP profil;4;104;H-profiler;1,5500;4;0;64;
HEA360;Klammeløsning;1;64;H-profiler;0,4450;;2;16;16
HEA360;Klammeløsning;2;46;H-profiler;0,6950;;2;16;8
HEA360;Klammeløsning;3;70;H-profiler;1,0450;;2;16;16
HEA360;Klammeløsning;4;91;H-profiler;1,3900;;0;0;32
HEA360;Bjælkeprofil eller PDP profil;1;74;H-profiler;0,5450;2;2;48;
HEA360;Bjælkeprofil eller PDP profil;2;48;H-profiler;0,7450;1;2;32;
HEA360;Bjælkeprofil eller PDP profil;3;75;H-profiler;1,1450;2;2;48;
